,stockprice,newspolarity,goldprice,oilprice
3/18/2019,5.47,0.194209347,15.32199955,67.54000092
3/19/2019,5.39,0.149231481,15.37199974,67.61000061
3/20/2019,5.33,0.114463633,15.31799984,68.5
3/21/2019,5.33,0.942781085,15.43700027,67.86000061
3/22/2019,5.33,0.490400088,15.40699959,67.02999878
3/24/2019,5.12,0.490400088,15.40799999,67.02999878
3/25/2019,5.12,0.246244562,15.56700039,67.20999908
3/26/2019,5.07,-0.065151515,15.4289999,67.97000122
3/27/2019,5.11,0.079977477,15.29800034,67.83000183
3/28/2019,5.15,0.046879405,14.97299957,67.81999969
3/29/2019,5.15,0.259783504,15.10999966,68.38999939
3/31/2019,5.08,0.259783504,15.11299992,68.38999939
4/1/2019,5.12,0.71911506,15.09899998,69.01000214
4/2/2019,5.12,0.52389829,15.06099987,69.37000275
4/3/2019,5.1,0.696056721,15.10200024,69.30999756
4/4/2019,5.11,0.348740079,15.08399963,69.40000153
4/5/2019,5.11,0.055073398,15.08600044,70.33999634
4/7/2019,5.09,0.055073398,15.0880003,70.33999634
4/8/2019,5.09,1.135276575,15.2159996,71.09999847
4/9/2019,5.08,0.35374534,15.21100044,70.61000061
4/10/2019,5.06,-0.121015713,15.24400043,71.73000336
4/11/2019,5.06,-0.2173889,14.86699963,70.83000183
4/12/2019,5.06,0.860599297,14.9630003,71.55000305
4/14/2019,5.06,0.860599297,14.91800022,71.55000305
4/15/2019,5.05,0.074963925,14.97500038,71.18000031
4/16/2019,5.05,1.17386544,14.91499996,71.72000122
4/17/2019,5.05,0.275194593,14.93900013,71.62000275
4/18/2019,5.05,0.651837675,14.95499992,71.94999695
